query,label
normal heart rate range by age child,Frequency
respiratory rate normal,Frequency
resting heart rate should be,Frequency
so what is the speed of light.,Frequency
typing speed average,Frequency
what heart rate is considered st,Frequency
what heart rate is dangerous,Frequency
what hz rate can your eyes see,Frequency
what is a bpm i should worry about,Frequency
what is a critically low heart rate,Frequency
What is a fast heart rate,Frequency
what is a good infant heart rate,Frequency
what is a good target heart rate for women,Frequency
what is a normal heart rate for a child,Frequency
what is a normal heart rate number,Frequency
what is a normal heart rate per minute,Frequency
what is a normal resting heart rate,Frequency
what is fastest speed of a body falling,Frequency
what is max speed for adsl,Frequency
what is normal bpm for your heart,Frequency
what is peak heart rate,Frequency
what is speed rating s,Frequency
what is the average bpm for teenagers,Frequency
what is the correct speed of light,Frequency
what is the normal heart rate for women?,Frequency
what is the speed limit in an urban district,Frequency
what is the speed of an animal in seconds,Frequency
what is the speed of light in kilometers/sec,Frequency
what is the speed of this computer,Frequency
what should a normal heart rate be while walking,Frequency
what should the resting heart rate be for a man,Frequency
what speed should photos be burned to disk at,Frequency
what speed should wifi be,Frequency
exchange brake fluid how often,Frequency
how often to pressure wash parking garage,Frequency
how common is jaundice in newborns,Frequency
how often to change serpentine belt,Frequency
how often should prostate be checked,Frequency
how much to feed koi daily,Frequency
how fast is a walrus,Frequency
how fast can snakes travel,Frequency
how fast does an english walnut tree grow,Frequency
how fast is the space station moving,Frequency
how much do a plant manager make?,Money
How much amount can be added in PayTM Wallet?,Money
How much can I spend on rent in Manhattan?,Money
How much did it cost to build typhoon lagoon?,Money
How much does a fresher earn in IT?,Money
How much does a residential garage door cost?,Money
How much does it cost to advertise on inMobi?,Money
How much does it cost to build a website in India?,Money
How much does it cost to start a website?,Money
How much does YouTube charge for uploading an ad?,Money
How much it will cost for Samsung galaxy Note 7 in India?,Money
How much money can one make by making mobile apps?,Money
"How much money per month is enough to live as a graduate student in Birmingham, UK?",Money
What is the average salary of a web designer in India?,Money
What is the salary of a professor in KIIT?,Money
scotty mccreery worth,Money
how much cost for individual tax file service,Money
ncl tuition fees,Money
average wage for accounts payable specialist,Money
how much does it cost to charter a private flight,Money
cost of netflix streaming per month,Money
how much does a therapist make during a year,Money
current egg price in philippines,Money
cost of cutting in and installing egress window,Money
how much money has silly bandz made?,Money
what is the fine for rescheduling an airline ticket?,Money
direct tv nfl package cost,Money
what is kathy lee gifford net worth,Money
solar energy cost per kwh 2016,Money
how much is a tire rotation,Money
cost of building storage shed,Money
average georgia spending money,Money
average small business owner salary,Money
cost to build a new deck,Money
average cost of permethrin cream,Money
what is simple ira limit for 2015,Money
johnny walker platinum label price,Money
how much to replace a tub faucet,Money
what is current account deficit in india,Money
how much does a wedding planner cost los angeles,Money
big daddy dunkleosteus cost,Money
how much does it cost to blacktop a driveway,Money
cost of cremation in nc,Money
how much does a poodle cost,Money
what is the average cost of a human cremation,Money
superbike cost,Money
fiber optic cable cost per mile,Money
average retail cost of ground beef,Money
cost of sending a parcel,Money
average cost have baby,Money
how much does a gas furnace cost,Money
how much does an alfa romeo giulia cost,Money
what does a new hvac cost,Money
cost for wheel alignment,Money
cost to shrink wrap a boat for winter,Money
cost of sylvan learning center tutoring,Money
prime rib cost,Money
how much does it cost to get fat transfer,Money
average cost of juvederm,Money
cost of po box,Money
what is the cost of silver,Money
cost reductions office buildings,Money
what is the cost basis of an inherited ira,Money
cost of decks per square feet,Money
boarding dogs cost,Money
what is the average cost of a tummy tuck,Money
cost of shocks and struts,Money
cost of dentures with implants,Money
how much does it cost to install a swimming pool in india,Money
average cost to run a funeral home,Money
cost of lumber for building a house,Money
cost to post a bicycle,Money
cost of pets to fly,Money
how much does an eyelid lift cost,Money
how much does effient cost,Money
heroin addiction cost,Money
cost to raise chickens,Money
how much should it cost to hire an editore to write a page of copy,Money
outdoor antenna installation cost,Money
us illegal immigration and how much it costs,Money
cost for a funeral,Money
actual cost of cremation,Money
average cost of gym membership per month,Money
business license cost,Money
how much does it cost clean gutters,Money
cost of raising a child in the uk,Money
estimated annual tuition cost of UCF,Money
walk in tubs cost,Money
french bulldog how much do they cost,Money
average costs to redo home exterior from siding to stucco,Money
dental implants: cost,Money
cost to fix high radon levels,Money
what is the average cost to redo a roof,Money
average garage cost,Money
how much does it cost to become an rn,Money
cost of surgery in india,Money
cost to furnish an apartment,Money
cost of nicholls state university,Money
how much does sunroom panel costs,Money
how much a bathroom renovation cost,Money
hepatitis a vaccine cost,Money
what is costa rica known for food,Money
average cost of clear choice,Money
cost to diy barn,Money
cost to heat driveway,Money
average cost for daycare in florida,Money
how much does it cost to dry clean a prom dress?,Money
cost of pool heater,Money
annual cost of iupui,Money
cost of dry aged beef,Money
the cost of soalr energy,Money
vehicle wrap cost,Money
what does hbo cost,Money
cost for freon recharge of heat pump,Money
cost of a 3200 log home to build,Money
how much does probate court cost,Money
price of garage door,Money
priceline rental car age,Money
bull terrier price,Money
price for ak,Money
rough price per square for roofing,Money
average price of trees,Money
"average gas prices at the chevron station in lancaster, ca",Money
lularoe bianca price,Money
popeyes seafood po'boy price,Money
average price groceries toronto family,Money
"average gas price montgomery, al",Money
how much is esthetician courses,Money
how much does the average midwife earn,Money
how much to get floor refinished,Money
how much can you make as a claims assistant,Money
how much can a creditor garnish,Money
how much money can you make with cargo van,Money
how much do you pay yearly in radford,Money
occupational hygienist salary,Money
average head of sales salary uk,Money
delta airlines cncellation fee,Money
average salary for mortgage loan originators,Money
wartburg college debt,Money
how much to repair a chimney,Money
how much does an insurance appointment setter make?,Money
how much does a heavy equipment operator make,Money
how much does amazon pay forklift drivers,Money
how much to register a car in california,Money
average income of a wide receiver in the nfl,Money
salaries for medical device packaging sales,Money
how much do game show hosts earn,Money
how much does a teacher get paid in fort worth texas,Money
senior hr assistant salary,Money
what is a single child worth on tax return,Money
average salary for financial analyst,Money
how much to stage a home for sale,Money
how much is hydrocodone 5 worth,Money
how much is lasik eye surgery?,Money
average title company settlement fee,Money
how much money can you make as a real estate agent,Money
how much is larry bird worth,Money
how much is basic bathroom remodel,Money
salary of a scuba diving instructor,Money
how much does a pastry chef get paid,Money
what is the new minimum wage for va,Money
what's the income level of fredericksburg,Money
what is the median annual wage for a teacher,Money
average gas bill per month,Money
what is a service fee on norwegian,Money
how much do professional caddies get of winnings,Money
average construction salary,Money
forensic psychologist pay rate,Money
average montessori teacher salary,Money
how much residents get paid,Money
how much do electricians charge,Money
the poker brat net worth,Money
average income for retirement couples,Money
how much do ramp agents make,Money
average income for north salem new york,Money
average salary for wastewater treatment operators,Money
how much does a rehabilitation center employee make,Money
how much money is danielle steel worth,Money
how much is medical school per year,Money
how much echo global make yearly,Money
candace parker net worth,Money
how much can i invest in a sep account,Money
average limo driver hourly,Money
dow. jones average,Money
wells fargo raising wage,Money
"what's the taxes in robertson,tn",Money
commission mcqueen,Money
cost to spend day with dog trainer,Money
cost of standard prenatal visits,Money
average cost of bath fitter remodel,Money
how much do basement wall panels cost to install,Money
how much does it cost to join the masters golf club,Money
average house cost 2016,Money
average pay of a plastic surgeon,Money
average salary sport dietitian,Money
how much does an average retail buyer make,Money
harriet green salary,Money
how much budget was given for the wall,Money
average registered nurse salary in usa,Money
how much money you need to play online poker,Money
annual salary for a certified pharmacy technician,Money
average annual salary for veterinarians,Money
how expensive is corian countertops,Money
what is the cost of a wedding cake?,Money
acceptance rate at john hopkins university,Percentage
at what rate are social security benefits taxed?,Percentage
average mortgage rate florida,Percentage
average percentage for benefits,Percentage
average salary in us percentage,Percentage
by what percent does water expand when frozen,Percentage
canada fresh water percent,Percentage
canadian exchange rate us to cad,Percentage
current prime lending rate in us,Percentage
hiv rate currently in prison jail systems,Percentage
how many percentage of rh- blood,Percentage
maximum connecticut income tax rate 2015,Percentage
mobile population rate uganda,Percentage
percentage of how many ethnic minorities in england,Percentage
prime rate today is,Percentage
roughly what percent of the body is water,Percentage
summit county tax rate colorado,Percentage
the average person uses what percent of their brain,Percentage
the national burglary clearance rate is,Percentage
the official poverty rate is the percentage of the population,Percentage
the percentage is with successful organ transplant,Percentage
tsp average rate of return,Percentage
typical percentage of loan paid to mirtgate broker,Percentage
us [population percentage that is hispanic,Percentage
us pays what percentage of un budget?,Percentage
us percentage of world population,Percentage
va loan interest rate,Percentage
what are the percentages of people iq,Percentage
what cousin percent dna match,Percentage
what has the highest percentage of blood volume,Percentage
what is a good markup percentage,Percentage
what is a normal commission rate for a lease broker,Percentage
what is base rate for bank lending,Percentage
"what is california sales tax rate for victorville, ca",Percentage
"what is city tax rate in livingston, ca",Percentage
what is current divorce rate in usa,Percentage
what is current interest rate for personal loan in india,Percentage
what is inventory carrying cost percentage of material cost,Percentage
What is the income tax rate in India?,Percentage
What percentage of Spanish words are derived from Latin?,Percentage
what percentage of your salary should your mortgage be?,Percentage
what body fat % is considered obese?,Percentage
what is the fatality rate of ebola,Percentage
how much charitable donations can be deducted,Percentage
abcmouse cancellation phone number,Phone
allstate payment phone number,Phone
brussels airlines us phone number,Phone
city of hattiesburg police dept. phone number,Phone
donate goods salvation army phone number,Phone
dr choi mount vernon phone number,Phone
how to email sprint phone number,Phone
irs utah phone number,Phone
jetblue corporate office phone number,Phone
nelnet phone numbers,Phone
phone number for animal control yuma,Phone
phone number for vrbo,Phone
phone number united airlines reservations,Phone
rockford police department phone number,Phone
scary phone number to call,Phone
simpra advantage phone number,Phone
southern motion phone number,Phone
the livery lewisburg wv phone number,Phone
uber driver support phone number,Phone
unm hospital medical records phone number,Phone
wcu admissions phone number,Phone
what is the phone number at&t,Phone
What is the technical support phone number for Linksys routers?,Phone
gamestop phone number,Phone
"white pages phone number chattanooga, tn",Phone
gati surface contact number,Phone
southland credit union wire number,Phone
comenity pay phone number,Phone
merchants insurance claims phone number,Phone
telephone number to lone star medical group in,Phone
boost mobile care number,Phone
wright patt customer service number,Phone
mount vernon police department number,Phone
support number for verizon,Phone
bowling green brandywine phone number,Phone
phone number for joann fabric customer service,Phone
henderson water district phone number,Phone
medicare coordination of benefits contact number,Phone
johns hopkins advantage provider number,Phone
ma department of revenue phone number,Phone
kootenai medical center phone number,Phone
moneygram payment syst phone number,Phone
sylvania customer service phone number,Phone
how many iron atoms are in the formula for iron(iii) oxide?,Quantity
How many calories do I burn to lose 1kg weight per day?,Quantity
How large is Pacific ocean?,Quantity
How many cells does a human have?,Quantity
How many Fortune 500 companies are over 100 years old?,Quantity
How many molecules are in 5 moles of h2o?,Quantity
"How many moons, planets and dwarf planets do we have in our solar system?",Quantity
How many movies (cinema productions) are there in the world?,Quantity
How many planes crash every year?,Quantity
How many public libraries are there in the USA?,Quantity
How much electricity is produced in windmills?,Quantity
How much euro is printed?,Quantity
How tall was Goliath the Philistine?,Quantity
What's the population of the usa?,Quantity
distance between miami and daytona,Quantity
average temperature in positano in april,Quantity
how many us presidents were only children,Quantity
calories in spinach noodles,Quantity
how many t5 bulbs for a reef tank,Quantity
how many dominos in double twelve set,Quantity
how much sugar should an adult have daily,Quantity
how many mass school shootings happened during obama's admin,Quantity
how many liquid drops in 5 ml,Quantity
how many gallons does one load of laundry use,Quantity
average number of tornadoes per year,Quantity
calories in a bean burrito from taco villa,Quantity
how many carbs in organic gummy bears,Quantity
how many words standard for a first novel,Quantity
how high should a handrail be,Quantity
how many people died in world war ii,Quantity
how many football players on the field,Quantity
optimal temperature for yeast,Quantity
how many reps per muscle group per workout?,Quantity
normal respiratory rate for toddlers,Quantity
how many credits are needed for a bachelor's degree,Quantity
how many oz should adults wear in boxing gloves,Quantity
average weight gain during menopause,Quantity
how much do medium labrador retriever weight,Quantity
how many rooms are in the four seasons maui,Quantity
how much sodium is in crab,Quantity
how many season has history channel vikings been on,Quantity
how much do jockeys have to weigh,Quantity
less calories chapati calories,Quantity
how many partitions can i have on a drive,Quantity
what height should a floating vanity be,Quantity
how much does a cubic yard of gravel weigh,Quantity
diet calorie intake for women,Quantity
amount of vitamin d help with mood,Quantity
how many acres is lake winnebago,Quantity
how many twilight movies have been made,Quantity
how many calories in a slurpee,Quantity
how many carbs in sheetz mozzarella sticks,Quantity
how many satellites are around earth?,Quantity
how many vertices are in a hexagon,Quantity
how many american soldiers died in 2015,Quantity
how many calories per day should you intake,Quantity
how many devices can i stream on amazon,Quantity
how many members are in irb,Quantity
how many years does social security count,Quantity
how many weeks of fmla can you get,Quantity
how many days in a year without the weekends,Quantity
how many dice in the game farkle,Quantity
how many carbs in a slice of lol american,Quantity
how many months till expiration a passport can be renewed philippines,Quantity
how many ml of water should i drink,Quantity
each state is guaranteed how many representatives what is representation based on,Quantity
How many calories per day for a woman,Quantity
how many years does it take to earn degrees,Quantity
how many books dr seuss has written,Quantity
how many mg of caffeine per day when pregnant,Quantity
how many calories in a chicken kiev,Quantity
how many states have a chick-fil-a restaurant,Quantity
how many died by the irish potato blight,Quantity
how many watch space shuttle challenger exploded,Quantity
how many amino acids are there in a complete protein,Quantity
how many seasons of vampire diaries,Quantity
how many pitches can a 11 year old throw,Quantity
how many sides does the pentagon have as,Quantity
how many calories should i cut to lose fat,Quantity
ibuprofen how many hours apart,Quantity
how many eggs does a hummingbird lay,Quantity
how many peanuts make up one ounce,Quantity
how many layers of phospholipids make up the plasma membrane,Quantity
how many moons does venus have,Quantity
how many miles between russia and alaska,Quantity
how many work hours in year,Quantity
obamacare how many people enrolled,Quantity
how many protons are in the sun,Quantity
how many episodes of army wives in season 7,Quantity
how many months can you travel before passport expires,Quantity
pompeii bodies how many,Quantity
how many miles between ionia and frankenmuth,Quantity
how many carbs in saltines,Quantity
how many liters toyota corolla,Quantity
how many seasons of glee are there,Quantity
how many boxes is on a chess board,Quantity
how many people died in the mexican civil war,Quantity
how many calories do you burn to be considered extremely active,Quantity
how many wings do bees have,Quantity
how many counties are there in usa,Quantity
how many days was in the mayan calendar?,Quantity
how many servings of carb should i eat diabetic,Quantity
how many calories are burned running a mile,Quantity
how many employees at brose vance alabama?,Quantity
how much snow has fallen in erie pa,Quantity
horse population in us,Quantity
houston metropolitan area population,Quantity
normal temperatures for dogs,Quantity
what is an average composite score on the act,Quantity
how far is muskogee ok from tulsa ok,Quantity
how far is spartanburg sc,Quantity
how far can a drone fly,Quantity
how far is swainsboro ga to augusta,Quantity
total fiber needed per day,Quantity
how far is lecce from rome,Quantity
how far gmrs radio can cover,Quantity
how far should shingles overhang drip edge,Quantity
how far down is the mantle,Quantity
what are currency dimensions of bahrain,Quantity
average miles used per year on vehicle,Quantity
how much sodium in salt,Quantity
what is dangerously low pulse rate,Quantity
lowest sea temperature,Quantity
what size is a standard bed pillow,Quantity
what act score is needed for rotc scholarship,Quantity
temperature doneness for turkey meatloaf,Quantity
average lifespan of giraffe in the wild,Quantity
distance between san diego and new orleans,Quantity
at what ph would the enzyme above be the most effective,Quantity
what size is a channel art,Quantity
weight of an ant in pounds,Quantity
Lancaster CA temperature averages,Quantity
how wide should a shared driveway be,Quantity
average macronutrient consumption,Quantity
how much caffeine is in a cup of coffee?,Quantity
how tall is a handrail on a deck,Quantity
average temps in georgia,Quantity
what is the population for norfolk virginia,Quantity
what is the normal dose of losartan,Quantity
what water temperature do perch spawn,Quantity
elevation of hoshiarpur,Quantity
how much antifreeze is lethal to humans,Quantity
how fast does the yamaha warrior?,Quantity
temperature hillsboro or,Quantity
calories in an average banana,Quantity
biggest spider width in the world,Quantity
what temperature for pork ribs,Quantity
calories in potato skins,Quantity
calories in egg mcmuffin without muffin,Quantity
valacyclovir dosage for shingles,Quantity
heaviest powerlifter,Quantity
what temperature should a dogs nose be,Quantity
temperature in rochester hills,Quantity
city covington washington population,Quantity
figure out number of joists needed,Quantity
how albums did prince have,Quantity
closest distance between mars and earth,Quantity
how far is clear lake tx to houston tx,Quantity
how far of a hike is burney falls,Quantity
driving distance gila nm to tucson az,Quantity
how big is your stomach and how much does it expand,Quantity
how tall do timber wolves get,Quantity
what was the size of world trade center building,Quantity
what is the size of a typical brick?,Quantity
what size mattress is needed for large pocket sheets?,Quantity
Size of a sixtel keg,Quantity
how big is india's population,Quantity
the library of congress classification system is divided into how many sections,Quantity
ventricular tachycardia rate range,Range
